API_UWI,Unformatted_API_UWI,WellName,Country,StateProvince,County,ENVOperator,StateWellType,Formation,FirstProdDate,Latitude,Longitude,Latitude_BH,Longitude_BH,TVD_FT,MD_FT,Field,Section,Township,Range,Section_Township_Range,ElevationKB_FT,ElevationGL_FT,PermitApprovedDate,DrillingEndDate,StateFileNumber,UpperPerf_FT,LowerPerf_FT,FirstProdYear
25-085-21473,2508521473,BERWICK  1,US,MT,ROOSEVELT,SAMSON OIL AND GAS USA,OIL,RED RIVER,1984-10-01,48.14483086017754,-104.20615581215154,,,,12466.0,Bainville,27,028N,058E,27-028N-058E,1972.0,1953.0,1984-07-03,,,,,*Pre-2010
25-085-21473,2508521473,BERWICK  1,US,MT,ROOSEVELT,SAMSON OIL AND GAS USA,OIL,RED RIVER,1984-10-01,48.14483086017754,-104.20615581215154,,,,12466.0,Bainville,27,028N,058E,27-028N-058E,1972.0,1953.0,1984-07-03,,,,,*Pre-2010
33-053-02580,3305302580,RUTH 1-23,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,RATCLIFFE,2004-01-01,47.802202,-103.70911500000001,47.796131198777054,-103.69377827649049,9347.0,13400.0,FOREMAN BUTTE,23,150N,102W,23-150N-102W,2166.0,2152.0,2003-10-23,2004-01-03,15511,9629,13400,*Pre-2010
33-053-02580,3305302580,RUTH 1-23,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,RATCLIFFE,2004-01-01,47.802202,-103.70911500000001,47.796131198777054,-103.69377827649049,9343.0,13400.0,FOREMAN BUTTE,23,150N,102W,23-150N-102W,2166.0,2152.0,2003-10-23,,,9460,13400,*Pre-2010
33-105-01520,3310501520,MOEN  12-2H,US,ND,WILLIAMS,SAMSON OIL AND GAS,OIL & GAS,MADISON,2004-04-01,48.277905059008624,-103.38726382270457,48.28996316768082,-103.38096536235038,9463.0,13980.0,EAST FORK,02,155N,099W,02-155N-099W,2164.0,2150.0,2004-01-13,2004-03-19,15533,9725,13980,*Pre-2010
25-083-21509,2508321509,SALSBURY  1-27,US,MT,RICHLAND,SAMSON OIL AND GAS USA,OIL,MADISON,1981-09-01,47.98085992356124,-104.21698046494511,,,,12847.0,"Sioux Pass, North",27,026N,058E,27-026N-058E,,2240.0,1981-04-21,,,,,*Pre-2010
25-083-21634,2508321634,PENNZOIL STATE  1H,US,MT,RICHLAND,SAMSON OIL AND GAS USA,OIL,BAKKEN,1982-07-01,47.75017281699849,-104.40170825808657,47.753126644905684,-104.40674271031143,,12565.0,Elm Coulee,16,023N,057E,16-023N-057E,2457.0,2442.0,1982-02-08,,,,,*Pre-2010
25-083-21600,2508321600,USA MARTIN  P-7,US,MT,RICHLAND,SAMSON OIL AND GAS USA,OIL,RATCLIFFE,1982-03-01,48.01565585064346,-104.2714299801243,,,,12576.0,"Sioux Pass, North",07,026N,058E,07-026N-058E,,2064.0,1981-10-30,,,,,*Pre-2010
25-083-21725,2508321725,STATE PASS  1,US,MT,RICHLAND,SAMSON OIL AND GAS USA,OIL,RATCLIFFE,1984-12-01,48.006693230720956,-104.23420010449259,,,,12710.0,"Sioux Pass, North",16,026N,058E,16-026N-058E,2172.0,2156.0,1984-06-19,,,,,*Pre-2010
25-085-21682,2508521682,TININENKO  24-24H,US,MT,ROOSEVELT,SAMSON OIL AND GAS USA,OIL,RATCLIFFE,2004-09-01,48.245197240157374,-104.12197183695598,48.256808,-104.126615,,13756.0,Red Bank,24,029N,058E,24-029N-058E,2531.0,2517.0,2004-06-08,,,,,*Pre-2010
33-105-03300,3310503300,RAINBOW  10-19-18HBK,US,ND,WILLIAMS,SAMSON OIL AND GAS,OIL & GAS,,,48.48768676773799,-103.38965126782504,,,,,RAINBOW,30,158N,098W,30-158N-098W,,2240.0,2013-11-04,,,,,
